"Report Written:","Thursday, May 23, 2019"
"Project Path:","C:\design spark work space\Forå„îy\LowpowerMotorDriverBoard\LowpowerMotorDriverBoard.prj"
"Design Path:","C:\design spark work space\Forå„îy\LowpowerMotorDriverBoard\LowpowerMotorDriverBoard.pcb"
"Design Title:",
"Created:","2019/05/08 21:54:37"
"Last Saved:","2019/05/23 0:03:00"
"Editing Time:","5432 min"
"Units:","mm (precision 2)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"1","1","B3B-PH-K-S(LF)(SN)","","SHDR3W50P0X200_1X3_790X450X600","JST (JAPAN SOLDERLESS TERMINALS)","B3B-PH-K-S(LF)(SN)","1724899","","PH-2.0mm Header top entry 3 way JST PH Series, Series Number B3B, 2mm Pitch 3 Way 1 Row Straight PCB Header, Through Hole Termination, 2A"
"3","1","B3B-PH-K-S(LF)(SN)","","SHDR3W50P0X200_1X3_790X450X600","JST (JAPAN SOLDERLESS TERMINALS)","B3B-PH-K-S(LF)(SN)","1724899","","PH-2.0mm Header top entry 3 way JST PH Series, Series Number B3B, 2mm Pitch 3 Way 1 Row Straight PCB Header, Through Hole Termination, 2A"
"5","1","B3B-PH-K-S(LF)(SN)","","SHDR3W50P0X200_1X3_790X450X600","JST (JAPAN SOLDERLESS TERMINALS)","B3B-PH-K-S(LF)(SN)","1724899","","PH-2.0mm Header top entry 3 way JST PH Series, Series Number B3B, 2mm Pitch 3 Way 1 Row Straight PCB Header, Through Hole Termination, 2A"
"2","1","B3B-PH-K-S(LF)(SN)","","SHDR3W50P0X200_1X3_790X450X600","JST (JAPAN SOLDERLESS TERMINALS)","B3B-PH-K-S(LF)(SN)","1724899","","PH-2.0mm Header top entry 3 way JST PH Series, Series Number B3B, 2mm Pitch 3 Way 1 Row Straight PCB Header, Through Hole Termination, 2A"
"4","1","B3B-PH-K-S(LF)(SN)","","SHDR3W50P0X200_1X3_790X450X600","JST (JAPAN SOLDERLESS TERMINALS)","B3B-PH-K-S(LF)(SN)","1724899","","PH-2.0mm Header top entry 3 way JST PH Series, Series Number B3B, 2mm Pitch 3 Way 1 Row Straight PCB Header, Through Hole Termination, 2A"
"8","1","B3B-PH-K-S(LF)(SN)","","SHDR3W50P0X200_1X3_790X450X600","JST (JAPAN SOLDERLESS TERMINALS)","B3B-PH-K-S(LF)(SN)","1724899","","PH-2.0mm Header top entry 3 way JST PH Series, Series Number B3B, 2mm Pitch 3 Way 1 Row Straight PCB Header, Through Hole Termination, 2A"
"7","1","B3B-PH-K-S(LF)(SN)","","SHDR3W50P0X200_1X3_790X450X600","JST (JAPAN SOLDERLESS TERMINALS)","B3B-PH-K-S(LF)(SN)","1724899","","PH-2.0mm Header top entry 3 way JST PH Series, Series Number B3B, 2mm Pitch 3 Way 1 Row Straight PCB Header, Through Hole Termination, 2A"
"6","1","B3B-PH-K-S(LF)(SN)","","SHDR3W50P0X200_1X3_790X450X600","JST (JAPAN SOLDERLESS TERMINALS)","B3B-PH-K-S(LF)(SN)","1724899","","PH-2.0mm Header top entry 3 way JST PH Series, Series Number B3B, 2mm Pitch 3 Way 1 Row Straight PCB Header, Through Hole Termination, 2A"
"CONN3","1","BOX-10P_lay","","USER","","","","",""
"ST-Link","1","BOX-20P","","USER","","","","",""
"C4","1","C-chip","","1608","","","","",""
"C3","1","C-chip","0.1u","1608","","","","",""
"C1","1","C-chip","0.1u","1608","","","","",""
"C2","1","C-chip","0.1u","1608","","","","",""
"C5","1","C-chip","1u","1608","","","","",""
"C6","1","C-chip","1u","1608","","","","",""
"C7","1","C-chip_2012","1u","CAPC2012X70N","Murata Electronics","GRM216R61C105KA88D","8467307P","","MURATA - GRM216R61C105KA88D - CAP, MLCC, X5R, 1UF, 16V, 0805"
"Y1","1","CSTCE12M0G55-R0","","CSTCE12M0G55-R0","Murata Electronics","CSTCE12M0G55-R0","7214809P","","SMT ceramic resonator 12.0MHz CSTCE12M0G55-R0, Ceramic Resonator, 12MHz Fundamental 33pF, 3-Pin Cap Chip, 3.2 x 1.3 x 0.7mm"
"POWER","1","FA1111C-TR","","LEDC1608X80N","Stanley Electric","FA1111C-TR","7002069P","","ChipLED 0603 Orange 1.6x0.8x0.7mm Stanley Electric FA1111C-TR, 1111C Series Orange LED, 605 nm 1608 (0603), Rectangle Lens SMD package"
"RX","1","FA1111C-TR","","LEDC1608X80N","Stanley Electric","FA1111C-TR","7002069P","","ChipLED 0603 Orange 1.6x0.8x0.7mm Stanley Electric FA1111C-TR, 1111C Series Orange LED, 605 nm 1608 (0603), Rectangle Lens SMD package"
"IC14","1","MCP2551-I_SN","","SOIC127P600X175-8N","Microchip","MCP2551-I/SN","2509530197","","High Speed CAN Transceiver,MCP2551-I/SN"
"R1","1","R-1608","10k","1608","","","","",""
"R16","1","R-1608","33k","1608","","","","",""
"R2","1","R-1608","150","1608","","","","",""
"R5","1","R-1608","150","1608","","","","",""
"IC1","1","STM32F303K8T6","","QFP80P900X900X160-32N","STMicroelectronics","STM32F303K8T6","","","ARM Microcontrollers - MCU 16/32-BITS MICROS"
"IC15","1","XC6216D332PR-G","","XC6216D332PRG","Torex","XC6216D332PR-G","","","LDO Voltage Regulators 28V Input Voltage Regulator"
